P,25,SafetyEquipment,,0,0,0,0,0
P,a,(1) Dry Chemical Type (5 KG) for control room,Nos.,0,0,0,9425,377
P,b,(2) CO2 type 4.5 KG capacity for control room,Nos.,0,0,0,8120,324.8
P,c,(3) CO2 type 22.5 KG capacity for control room,Nos.,0,0,0,22620,904.8
P,26,Aluminium Pipe 50 mm dia as per eqiurement,M,0,0,0,6525,261
P,27,Aluminium Connectors,LS/PSS,1,0,1,6525,261
P,28,11 KV Disc insulator with hardware fiiting,set,24,0,24,398.75,15.95
P,,Civil Works,,,0,,,
P,29,Repairng/ Construction of boundary wall,M,0,0,0,3625,145
P,30,Repairing/ Construction of road,M,0,0,0,5075,203
Q,Q,Constructi:on of New 11kV Lines on Rail Pole with ACSR Dog conductor,,220,0,220,,
Q,1,Route Survey,Km,220,0,220,1305,0
Q,2,"Rail Pole 105 lbs, 13 meter",No,3960,0,3960,52203.155,2088.1262
Q,3,Pin Insulator & Pin 11 KV as per TS,Set,11880,0,11880,108.75,4.35
Q,4,Disc Insulator & Hardware,Set,1980,0,1980,414.7,16.588
Q,5,ACSR Dog Conductor,Km,679.8,0,679.8,82711.7,3308.468
Q,6,"Supply & Fabrication of Pole Top Bracket, V cross arm, Back clamp for V cross arm, DP Channel, DP channel clamp, DP Cross bracing, DP Bracing clamps",Kg,88000,0,88000,95.7,3.828
Q,7,"Stay set complete along with guy insulator, stay clamp, guy grip, stay base plate, 7/12 SWG GI stay wire complete as per specification and drawing",,0,0,0,,0
Q,a,Stay wire 7/12 SWG,Set,1760,0,1760,507.5,20.3
Q,b,Stay Insulator,no.,1760,0,1760,21.75,0.87
Q,c,Stay Rod assembly,Set,1760,0,1760,725,29
Q,d,Stone stay Plate/ Stay Base plate ( 150 x 150 x 6 mm),Set,1760,0,1760,181.25,7.25
Q,8,Earthing,,0,0,0,,0
Q,a,"Spiral type earthing as per REC construction drawing J-1 including supply of all materials like 8 SWG G.I. wire closely wound having 115 turns, 50mm dia & 450mm long coil (untreated without charcoal & salt) in all type of soil including excavation, refilling with earth, fixing of bolts, nuts, washers for connection with pole support/ metalic part all complete as per TS & direction of Engineer-in charge (individual pole earthing)",No,3520,0,3520,152.25,6.09
Q,b,"Pipe type earthing including supply of all materials like 40mm dia, 3M long GI pipe charcoal & salt as required in all kind of soil all complete as per REC construction drawing J-2 & approved drawing & TS including excavation, refilling with salt & charcoal , fixing of bolts, nuts, washers for connection with pole support/ metalic part all complete as per TS & direction of Engineer-in charge",No,440,0,440,1486.25,59.45
Q,9,Nuts & Bolts,Kg,4840,0,4840,127.165,5.0866
Q,10,Aluminium wire for binding,Kg,4.4,0,4.4,217.5,8.7
Q,11,Preformed Jointing Sleeve,Set,220,0,220,253.75,10.15
Q,12,"Sundaries (Tree Clearance, etc)",LS,220,0,220,5075,203
Q,13,Guarding and Lacing,,0,0,0,0,0
Q,a,GI Wire 7/16 SWG for Guarding as per REC Construction drawing standard A-1 at crossing,MT,13.2,0,13.2,71814.15,2872.566
Q,b,GI Wire (8 SWG) for Lacing as per REC Construction drawing Standard A-1 at crossing lacing,MT,8.8,0,8.8,71814.15,2872.566
Q,14,PG clamps suitable for following ACSR conductors (6 nos. per DP/cut point),No,1320,0,1320,181.25,7.25
Q,15,Sectionliser switch (400 Amp rating) ( 1 set per 5 Km),Set,44,0,44,21750,870
Q,16,Stone base plate,Nos,3960,0,3960,181.25,7.25
R,R,"Constructi:on of New 11kV Lines on 9M, 400 Kg PSC Pole with ACSR Dog conductor",,20,0,20,,
R,1,Route Survey,Km,20,0,20,1305,0
R,2,PSC Pole 9 Mtr. 400 Kg,No,440,0,440,5694.15,427.06125
R,3,Pin Insulator & Pin 11 KV as per TS,Set,1260,0,1260,108.75,4.35
R,4,Disc Insulator & Hardware,Set,180,0,180,414.7,16.588
R,5,ACSR Dog conductor,Km,61.8,0,61.8,82711.7,3308.468
R,6,"Supply & Fabrication of Pole Top Bracket, V cross arm, Back clamp for V cross arm, DP Channel, DP channel clamp, DP Cross bracing, DP Bracing clamps",Kg,8000,0,8000,95.7,3.828
R,7,"Stay set complete along with guy insulator, stay clamp, guy grip, stay base plate, 7/12 SWG GI stay wire complete as per specification and drawing",,0,0,0,0,0
R,a,Stay wire 7/12 SWG,Set,200,0,200,507.5,20.3
R,b,Stay Insulator,no.,200,0,200,21.75,0.87
R,c,Stay Rod assembly,Set,200,0,200,725,29
R,d,Stone stay Plate/ Stay Base plate ( 150 x 150 x 6 mm),Set,200,0,200,181.25,7.25
R,8,Earthing,,0,0,0,0,0
R,a,"Spiral type earthing as per REC construction drawing J-1 including supply of all materials like 8 SWG G.I. wire closely wound having 115 turns, 50mm dia & 450mm long coil (untreated without charcoal & salt) in all type of soil including excavation, refilling with earth, fixing of bolts, nuts, washers for connection with pole support/ metalic part all complete as per TS & direction of Engineer-in charge (individual pole earthing)",No,320,0,320,152.25,6.09
R,b,"Pipe type earthing including supply of all materials like 40mm dia, 3M long GI pipe charcoal & salt as required in all kind of soil all complete as per REC construction drawing J-2 & approved drawing & TS including excavation, refilling with salt & charcoal , fixing of bolts, nuts, washers for connection with pole support/ metalic part all complete as per TS & direction of Engineer-in charge",No,40,0,40,1486.25,59.45
R,9,Nuts & Bolts,Kg,440,0,440,127.165,5.0866
R,10,Aluminium wire for binding,Kg,0.4,0,0.4,217.5,8.7
R,11,Preformed Jointing Sleeve,Set,20,0,20,253.75,10.15
R,12,"Sundaries (Tree Clearance, etc)",LS,20,0,20,5075,203
R,13,Guarding and Lacing,,0,0,0,0,0
R,a,GI Wire 7/16 SWG for Guarding as per REC Construction drawing standard A-1 at crossing,MT,1.2,0,1.2,71814.15,2872.566
R,b,GI Wire (8 SWG) for Lacing as per REC Construction drawing Standard A-1 at crossing lacing,MT,0.8,0,0.8,71814.15,2872.566
R,14,PG clamps suitable for following ACSR conductors (6 nos. per DP/cut point),No,120,0,120,181.25,7.25
R,15,Sectionliser switch (400 Amp rating) ( 1 set per 5 Km),Set,4,0,4,21750,870
R,16,Stone base plate,Nos,360,0,360,181.25,7.25
S,S,"Constructi:on of New 11kV Lines on8M, 200 Kg PSC Pole with ACSR Rabbit Conductor",,161,40,201,,
S,1,Route Survey,Km,161,40,201,1305,0
S,2,PSC Pole 8 Mtr 200 Kg,No,2898,720,3618,3500,262.5
S,3,Pin Insulator & Pin 11 KV as per TS,Set,8694,2160,10854,108.75,4.35
S,4,Disc Insulator & Hardware,Set,1449,360,1809,414.7,16.588
S,5,ACSR Rabbit equivalent,Km,497.49,123.6,621.09,42727.3,1709.092
S,6,"Supply & Fabrication of Pole Top Bracket, V cross arm, Back clamp for V cross arm, DP Channel, DP channel clamp, DP Cross bracing, DP Bracing clamps",Kg,64400,16000,80400,95.7,3.828
S,7,"Stay set complete along with guy insulator, stay clamp, guy grip, stay base plate, 7/12 SWG GI stay wire complete as per specification and drawing",,0,0,0,0,0
S,a,Stay wire 7/12 SWG,Set,1288,320,1608,507.5,20.3
S,b,Stay Insulator,no.,1288,320,1608,21.75,0.87
S,c,Stay Rod assembly,Set,1288,320,1608,725,29
S,d,Stone stay Plate/ Stay Base plate ( 150 x 150 x 6 mm),Set,1288,320,1608,181.25,7.25
S,8,Earthing,,0,0,0,0,0
S,a,"Spiral type earthing as per REC construction drawing J-1 including supply of all materials like 8 SWG G.I. wire closely wound having 115 turns, 50mm dia & 450mm long coil (untreated without charcoal & salt) in all type of soil including excavation, refilling with earth, fixing of bolts, nuts, washers for connection with pole support/ metalic part all complete as per TS & direction of Engineer-in charge (individual pole earthing)",No,2576,640,3216,152.25,6.09
S,b,"Pipe type earthing including supply of all materials like 40mm dia, 3M long GI pipe charcoal & salt as required in all kind of soil all complete as per REC construction drawing J-2 & approved drawing & TS including excavation, refilling with salt & charcoal , fixing of bolts, nuts, washers for connection with pole support/ metalic part all complete as per TS & direction of Engineer-in charge",No,322,80,402,1486.25,59.45
S,9,Nuts & Bolts,Kg,3542,880,4422,127.165,5.0866
S,10,Aluminium wire for binding,Kg,3.22,0.8,4.02,217.5,8.7
S,11,Preformed Jointing Sleeve,Set,161,40,201,253.75,10.15
S,12,"Sundaries (Tree Clearance, etc)",LS,161,40,201,5075,203
S,13,Guarding and Lacing,,0,0,0,0,0
S,a,GI Wire 7/16 SWG for Guarding as per REC Construction drawing standard A-1 at crossing,MT,9.66,2.4,12.06,71814.15,2872.566
S,b,GI Wire (8 SWG) for Lacing as per REC Construction drawing Standard A-1 at crossing lacing,MT,6.44,1.6,8.04,71814.15,2872.566
S,14,PG clamps suitable for following ACSR conductors (6 nos. per DP/cut point),No,966,240,1206,181.25,7.25
S,15,Sectionliser switch (400 Amp rating) ( 1 set per 5 Km),Set,32.2,8,40.2,21750,870
S,16,Stone base plate,Nos,2898,720,3618,181.25,7.25
T,T,Construction of 11kV New Lines on 9 Mtr. 400Kg PSC Pole with ACSR Rabbit Conductor,,160,40,200,,
T,1,Route Survey,Km,160,40,200,1305,0
T,2,PSC Pole 9 Mtr 400 Kg,No,2880,720,3600,5694.15,427.06125
T,3,Pin Insulator & Pin 11 KV as per TS,Set,8640,2160,10800,108.75,4.35
T,4,Disc Insulator & Hardware,Set,1440,360,1800,414.7,16.588
T,5,ACSR Rabbit equivalent,Km,494.4,123.6,618,42727.3,1709.092
T,6,"Supply & Fabrication of Pole Top Bracket, V cross arm, Back clamp for V cross arm, DP Channel, DP channel clamp, DP Cross bracing, DP Bracing clamps",Kg,64000,16000,80000,95.7,3.828
T,7,"Stay set complete along with guy insulator, stay clamp, guy grip, stay base plate, 7/12 SWG GI stay wire complete as per specification and drawing",,0,0,0,0,0
T,a,Stay wire 7/12 SWG,Set,1280,320,1600,507.5,20.3
T,b,Stay Insulator,no.,1280,320,1600,21.75,0.87
T,c,Stay Rod assembly,Set,1280,320,1600,725,29
T,d,Stone stay Plate/ Stay Base plate ( 150 x 150 x 6 mm),Set,1280,320,1600,181.25,7.25
T,8,Earthing,,,0,0,0,0
T,a,"Spiral type earthing as per REC construction drawing J-1 including supply of all materials like 8 SWG G.I. wire closely wound having 115 turns, 50mm dia & 450mm long coil (untreated without charcoal & salt) in all type of soil including excavation, refilling with earth, fixing of bolts, nuts, washers for connection with pole support/ metalic part all complete as per TS & direction of Engineer-in charge (individual pole earthing)",No,2560,640,3200,152.25,6.09
T,b,"Pipe type earthing including supply of all materials like 40mm dia, 3M long GI pipe charcoal & salt as required in all kind of soil all complete as per REC construction drawing J-2 & approved drawing & TS including excavation, refilling with salt & charcoal , fixing of bolts, nuts, washers for connection with pole support/ metalic part all complete as per TS & direction of Engineer-in charge",No,320,80,400,1486.25,59.45
T,9,Nuts & Bolts,Kg,3520,880,4400,127.165,5.0866
T,10,Aluminium wire for binding,Kg,3.2,0.8,4,217.5,8.7
T,11,Preformed Jointing Sleeve,Set,160,40,200,253.75,10.15
T,12,"Sundaries (Tree Clearance, etc)",LS,160,40,200,5075,203
T,13,Guarding and Lacing,,0,0,0,0,0
T,a,GI Wire 7/16 SWG for Guarding as per REC Construction drawing standard A-1 at crossing,MT,9.6,2.4,12,71814.15,2872.566
T,b,GI Wire (8 SWG) for Lacing as per REC Construction drawing Standard A-1 at crossing lacing,MT,6.4,1.6,8,71814.15,2872.566
T,14,PG clamps suitable for following ACSR conductors (6 nos. per DP/cut point),No,960,240,1200,181.25,7.25
T,15,Sectionliser switch (400 Amp rating) ( 1 set per 5 Km),Set,32,8,40,21750,870
T,16,Stone base plate,Nos,2880,720,3600,181.25,7.25
V,V,Construction of New 11kV Lines on 8 Mtr. 200Kg PSC Pole with ACSR Weasel Conductor,,60,10,70,,
V,1,Route Survey,Km,60,10,70,1305,0
V,2,PSC Pole 8 Mtr 200 Kg,No,1080,180,1260,3500,262.5
V,3,Pin Insulator & Pin 11 KV as per TS,Set,3240,540,3780,108.75,4.35
V,4,Disc Insulator & Hardware,Set,540,90,630,414.7,16.588
V,5,ACSR Weasel equivalent,Km,185.4,30.9,216.3,28727.3,1149.092
V,6,"Supply & Fabrication of Pole Top Bracket, V cross arm, Back clamp for V cross arm, DP Channel, DP channel clamp, DP Cross bracing, DP Bracing clamps",Kg,24000,4000,28000,95.7,3.828
V,7,"Stay set complete along with guy insulator, stay clamp, guy grip, stay base plate, 7/12 SWG GI stay wire complete as per specification and drawing",,0,0,0,0,0
V,a,Stay wire 7/12 SWG,Set,480,80,560,507.5,20.3
V,b,Stay Insulator,no.,480,80,560,21.75,0.87
V,c,Stay Rod assembly,Set,480,80,560,725,29
V,d,Stone stay Plate/ Stay Base plate ( 150 x 150 x 6 mm),Set,480,80,560,181.25,7.25
V,8,Earthing,,0,0,0,0,0
V,a,Spiral type earthing,No,960,160,1120,152.25,6.09
V,b,Pipe type earthing,No,120,20,140,1486.25,59.45
V,9,Nuts & Bolts,Kg,1320,220,1540,127.165,5.0866
V,10,Aluminium wire for binding,Kg,1.2,0.2,1.4,217.5,8.7
V,11,Preformed Jointing Sleeve,Set,60,10,70,253.75,10.15
V,12,"Sundaries (Tree Clearance, etc)",LS,60,10,70,5075,203
V,13,Guarding and Lacing,,0,0,0,0,0
V,a,GI Wire 7/16 SWG for Guarding as per REC Construction drawing standard A-1 at crossing,MT,3.6,0.6,4.2,71814.15,2872.566
V,b,GI Wire (8 SWG) for Lacing as per REC Construction drawing Standard A-1 at crossing lacing,MT,2.4,0.4,2.8,71814.15,2872.566
V,14,PG clamps suitable for following ACSR conductors (6 nos. per DP/cut point),No,360,60,420,181.25,7.25
V,15,Sectionliser switch (400 Amp rating) ( 1 set per 5 Km),Set,12,2,14,21750,870
V,16,Stone base plate,Nos,1080,180,1260,181.25,7.25
W,W,Construction of New 11kV Lines on 9 Mtr. 400Kg PSC Pole with ACSR Weasel Conductor,,34,16,50,,
W,1,Route Survey,Km,34,16,50,1305,0
W,2,PSC Pole 9 Mtr 400 Kg,No,612,288,900,5694.15,427.06125
W,3,Pin Insulator & Pin 11 KV as per TS,Set,1836,864,2700,108.75,4.35
W,4,Disc Insulator & Hardware,Set,306,144,450,414.7,16.588
W,5,ACSR Weasel equivalent,Km,105.06,49.44,154.5,28727.3,1149.092
W,6,"Supply & Fabrication of Pole Top Bracket, V cross arm, Back clamp for V cross arm, DP Channel, DP channel clamp, DP Cross bracing, DP Bracing clamps",Kg,13600,6400,20000,95.7,3.828
W,7,"Stay set complete along with guy insulator, stay clamp, guy grip, stay base plate, 7/12 SWG GI stay wire complete as per specification and drawing",,0,0,0,0,0
W,a,Stay wire 7/12 SWG,Set,272,128,400,507.5,20.3
W,b,Stay Insulator,no.,272,128,400,21.75,0.87
W,c,Stay Rod assembly,Set,272,128,400,725,29
W,d,Stone stay Plate/ Stay Base plate ( 150 x 150 x 6 mm),Set,272,128,400,181.25,7.25
W,8,Earthing,,0,0,0,0,0
W,a,"Spiral type earthing as per REC construction drawing J-1 including supply of all materials like 8 SWG G.I. wire closely wound having 115 turns, 50mm dia & 450mm long coil (untreated without charcoal & salt) in all type of soil including excavation, refilling with earth, fixing of bolts, nuts, washers for connection with pole support/ metalic part all complete as per TS & direction of Engineer-in charge (individual pole earthing)",No,544,256,800,152.25,6.09
W,b,"Pipe type earthing including supply of all materials like 40mm dia, 3M long GI pipe charcoal & salt as required in all kind of soil all complete as per REC construction drawing J-2 & approved drawing & TS including excavation, refilling with salt & charcoal , fixing of bolts, nuts, washers for connection with pole support/ metalic part all complete as per TS & direction of Engineer-in charge",No,68,32,100,1486.25,59.45
W,9,Nuts & Bolts,Kg,748,352,1100,127.165,5.0866
W,10,Aluminium wire for binding,Kg,0.68,0.32,1,217.5,8.7
W,11,Preformed Jointing Sleeve,Set,34,16,50,253.75,10.15
W,12,"Sundaries (Tree Clearance, etc)",LS,34,16,50,5075,203
W,13,Guarding and Lacing,,0,0,0,0,0
W,a,GI Wire 7/16 SWG for Guarding as per REC Construction drawing standard A-1 at crossing,MT,2.04,0.96,3,71814.15,2872.566
W,b,GI Wire (8 SWG) for Lacing as per REC Construction drawing Standard A-1 at crossing lacing,MT,1.36,0.64,2,71814.15,2872.566
W,14,PG clamps suitable for following ACSR conductors (6 nos. per DP/cut point),No,204,96,300,181.25,7.25
W,15,Sectionliser switch (400 Amp rating) ( 1 set per 5 Km),Set,6.8,3.2,10,21750,870
W,16,Stone base plate,Nos,612,288,900,181.25,7.25
Y,Y,Reconductoring of 11 KV Line by using PSC Pole & ACSR Rabbit conductor,,111,0,111,,
Y,1,ACSR Rabbit conductor,Km,342.99,0,342.99,42727.3,1709.092
Y,2,PSC Pole 9 Mtr 400 Kg,No,444,0,444,5694.15,427.06125
Y,3,Pin Insulator & Pin 11 KV as per TS,Set,3330,0,3330,108.75,4.35
Y,4,Rail Pole 13 Mtr (105 lbs),No,0,0,0,52203.155,2088.1262
Y,5,Disc Insulator with Hardware fittings suitable to ACSR Rabbit/Weasel conductor complete in all rspect,Set,666,0,666,414.7,16.588
Y,6,"Supply & Fabrication of Pole Top Bracket, V cross arm, Back clamp for V cross arm, DP Channel, DP channel clamp, DP Cross bracing, DP Bracing clamps",Kg,27750,0,27750,95.7,3.828
Y,7,"Stay set complete along with guy insulator, stay clamp, guy grip, stay base plate, 7/12 SWG GI stay wire complete as per specification and drawing",,0,0,0,,0
Y,8,Stay wire 7/12 SWG,Set,444,0,444,507.5,20.3
Y,9,Stay Insulator,no.,444,0,444,21.75,0.87
Y,10,Stay Rod assembly,Set,444,0,444,725,29
Y,11,Stone stay Plate/ Stay Base plate ( 150 x 150 x 6 mm),Set,444,0,444,181.25,7.25
Y,12,Earthing,,0,0,0,,0
Y,13,"Spiral type earthing as per REC construction drawing J-1 including supply of all materials like 8 SWG G.I. wire closely wound having 115 turns, 50mm dia & 450mm long coil (untreated without charcoal & salt) in all type of soil including excavation, refilling with earth, fixing of bolts, nuts, washers for connection with pole support/ metalic part all complete as per TS & direction of Engineer-in charge (individual pole earthing)",No,1776,0,1776,152.25,6.09
Y,14,"Pipe type earthing including supply of all materials like 40mm dia, 3M long GI pipe charcoal & salt as required in all kind of soil all complete as per REC construction drawing J-2 & approved drawing & TS including excavation, refilling with salt & charcoal , fixing of bolts, nuts, washers for connection with pole support/ metalic part all complete as per TS & direction of Engineer-in charge",No,222,0,222,1486.25,59.45
Y,15,Nuts & Bolts,Kg,1332,0,1332,127.165,5.0866
Y,16,Aluminium wire for binding,Kg,2.22,0,2.22,217.5,8.7
Y,17,Preformed Jointing Sleeve suitable to ACSR Rabbit Conductor,Set,111,0,111,253.75,10.15
Y,18,"Sundaries (Tree Clearance, etc)",LS,111,0,111,5075,203
Y,19,Guarding and Lacing,,0,0,0,,0
Y,20,GI Wire 7/16 SWG for Guarding as per REC Construction drawing standard A-1 at crossing,MT,6.66,0,6.66,71814.15,2872.566
Y,21,GI Wire (8 SWG) for Lacing as per REC Construction drawing Standard A-1 at crossing lacing,MT,4.44,0,4.44,71814.15,2872.566
Y,22,PG clamps suitable for ACSR Rabbit conductors (6 nos. per DP/cut point),No,666,0,666,181.25,7.25
Y,24,Stone base plate,Nos,444,0,444,181.25,7.25
Y,25,"(a) Dismentling of existing defective/damaged pole-support (Rail/joist/tubular from existing line and returning the dismentoled pole structure including storage, handling, insurance, loading, unloading, transportation to designated etore of NBPDCL as per the direction of Engineer-in-charge and handing over the pole to the authorised representative of NBPDCL with propoer accounting as per the TS.",LS per CKM,111,0,111,25000,1000
Y,,"(b) Dismentling of existing Conductor (Dog/Rabbit/Weasel etc) and rewinding of thedismantled conductor in the wooden drum to be arranged by the contractor at their own cost) and returning the dismantled conductor including storage, handling, insurance, loading, unloading, transportation to designated etore of NBPDCL as per the direction of Engineer-in-charge and handing over the conductor to the authorised representative of NBPDCL with propoer accounting as per the TS.",LS per CKM,111,0,111,29000,1160
Y,26,(a) Route Survey,KM,111,0,111,1305,0
AC,AC,11 KV Metering System,,14,0,14,,
AC,1,11 kV Metering units in all respest with TS,No,14,0,14,21750,870
AD,AD,Construction of New 11 KV Bay Extension for New feeders,,14,0,14,,0
AD,1,"12 KV, 630 A, (25KA S.C. rating), 3-Ph, Outdoor type Vacuum Circuit Breaker (with 30V DC tripping/closing coil and associated control) along with marshalling box, terminal connectors and required accessories complete as per applicable TS",Set,14,0,14,320692.15,12827.686
AD,2,"12KV, 400 A (25KA S.C. rating), 3-ph double break centre rotating type (with Earth Switch), Gang Operated, Isolator along with Support Insulators, Operating Mechanism, Base Channel Down Pipe, Terminal connectors and all reauired accessories complete as per applicable TS",Set,28,0,28,52869.9,2114.796
AD,3,"9 kV, 10kA, 1-ph LA, Metal oxide with terminal connector complete in all respect ( 1set= 3no.)",Set,14,0,14,2228.65,89.146
AD,4,"12 KV, 1-PH, 25KA, 800-400-200/5-5 Amp outdoor type Current Transformer, having two secondary cores (protection & metering) alongwith terminal connectors, junction box and required accessories etc. complete as per applicable TS ( 1 set = 3 nos.)",Set,14,0,14,44575.9,1783.036
AD,5,"12 KV Control & Relay panel for 12 KV VCB & Power Transformer (suitable for 30 V DC tripping/closing coil and associated control) alongwith, ElF & O/C relays,Static energy meter (class 0.5 with communication port) , Mimic Diagram, Voltmete, Ammeter, etc complete as per",Set,14,0,14,179539,7181.56
AD,6,"Strcutures for 11 KV bay including AB switch, PI, LA & CT",Lot,14,0,14,154774.45,6190.978
AD,6 b,A structure for 11 KV swing bus,nos.,14,0,14,154774.45,6190.978
AD,7,Auxiliaries & Misc. Items,,0,0,0,,0
AD,a,11 KV post Insulator,No.,84,0,84,398.75,15.95
AD,b.,11 KV Disc insulator (45 KN) as per TS ( 1 set=1 no.) with Hardware fitting,Set,84,0,84,398.75,15.95
AD,c,ACSR Wolf conductor,Km,0.21,0,0.21,135670,5426.8
AD,d,Control and Power cable various sizes as per requirement,Lot,14,0,14,65250,2610
AD,e,Earthing as per REC specification and construction of cable trench if required,Lot,14,0,14,55717.7,2228.708
AD,f,Al. Pipe 50 mm dia as per TS,Mtr.,140,0,140,435,17.4
AF,AF,"Construction of New11/0.433 KV, 63 KVA Distribution Transformers",,60,0,60,,
AF,1,3-Ph-63 KVA Distribution Transformer,No.,60,0,60,210965.95,8438.638
AF,2,8 mtrs long 200 kg PSC Pole,No.,120,0,120,3500,262.5
AF,3,"Supply & fabrication of channel for supporting transformers/ AB switch, channel for supporting DO fuse & Las channel support for transformer belting, belting support, clamps for AB switch base channel 2 pairs, angle for LT distribution bus for DTs",Kg,15900,0,15900,95.7,3.828
AF,4,AB Switch 3 Pin type double break ( horizontal) 11 kV 3 pole 200 Amp,Set,60,0,60,13000.7,520.028
AF,5,Distribution box with MCCB for 3 ph 63 kVA DTs with CT operated energy meter,No.,60,0,60,23925,957
AF,6,HG Fuse sets 11 kV with insulators etc for 3 ph transformers - 200 Amp,Set,60,0,60,5075,203
AF,7,11 kv lightning Arrester,Nos,180,0,180,507.5,20.3
AF,8,"Pipe type earthing including supply of all materials like 40mm dia, 3M long GI pipe charcoal & salt as required in all kind of soil all complete as per REC construction drawing J-2 & approved drawing & TS including excavation, refilling with salt & charcoal , fixing of bolts, nuts, washers for connection with pole support/ metalic part all complete as per TS & direction of Engineer-in charge",Nos,180,0,180,3045,121.8
AF,9,Nuts & Bolts,Kg,720,0,720,127.165,5.0866
AF,10,Supply for ACSR conductors,,0,0,0,0,0
AF,a,ACSR Dog Conductor,KM,1.2,0,1.2,82711.7,3308.468
AF,11,PG Clamps suitable for connection to ACSR Rabbit conductor,No.,360,0,360,181.25,7.25
AF,12,Crimping type heavy duty aluminium lugs suitable for connection in rewirable kit kat fuse & connecting ACSR conductor/ PVC cables,LS,960,0,960,362.5,14.5
AF,13,Insulators as per TS,,0,0,0,0,0
AF,a,11 kV Disc insulator 45 KN (Single Disc) with hardware fittings suitable for ACSR Dog/ Rabbit/ Weasel conductor,Set,360,0,360,398.75,15.95
AF,b,11 kV Pin insulator with Pin,No.,360,0,360,108.75,4.35
AF,c,LT Pin insulator with Pin,No.,180,0,180,17.4,0.696
AF,d,LT Shackle insulator assembly complete as per specification (Type- II),No.,480,0,480,14.5,0.58
AF,14,"Stay set complete along with guy insulator, stay clamp, guy grip, stay base plate, 7/12 SWG GI stay wire complete as per specification and drawing",,0,0,0,0,0
AF,a,Stay wire 7/12 SWG,Set,120,0,120,507.5,20.3
AF,b,Stay Insulator,no.,120,0,120,21.75,0.87
AF,c,Stay Rod assembly,Set,120,0,120,725,29
AF,d,Stone stay Plate/ Stay Base plate ( 150 x 150 x 6 mm),Set,120,0,120,181.25,7.25
AF,15,Danger board (for both pole of new DSS),No.,60,0,60,116,4.64
AF,16,Anticlimbing device (for both pole of new DSS),No.,120,0,120,153.7,6.148
AF,17,1.1 kV grade 3&1/2 core 120 sqmm size PVC insulated PVC sheathed aluminium conductor cable,Meter,1800,0,1800,52.2,2.088
AF,18,Stone base plate,Nos,120,0,120,181.25,7.25
AG,AG,"Construction of New 11/0.433 KV,100 KVA Distribution Transformers on 9 Mtr. 400 Kg PSC Pole",,100,20,120,,
AG,1,3-Ph-100 KVA Distribution Transformer,No.,100,20,120,245113.45,9804.538
AG,2,9 mtrs long 400 kg PSC Pole,No.,200,40,240,5694.15,427.06125
AG,3,"Supply & fabrication of channel for supporting transformers/ AB switch, channel for supporting DO fuse & Las channel support for transformer belting, belting support, clamps for AB switch base channel 2 pairs, angle for LT distribution bus for DTs",Kg,26500,5300,31800,95.7,3.828
AG,4,AB Switch 3 Pin type double break ( horizontal) 11 kV 3 pole 200 Amp,Set,100,20,120,13000.7,520.028
AG,5,Distribution box with MCCB for 3 ph 100 kVA DTs with CT operated energy meter,No.,100,20,120,23925,957
AG,6,HG Fuse sets 11 kV with insulators etc for 3 ph transformers - 200 Amp,Set,100,20,120,5075,203
AG,7,11 kv lightning Arrester,Nos,300,60,360,507.5,20.3
AG,8,"Pipe type earthing including supply of all materials like 40mm dia, 3M long GI pipe charcoal & salt as required in all kind of soil all complete as per REC construction drawing J-2 & approved drawing & TS including excavation, refilling with salt & charcoal , fixing of bolts, nuts, washers for connection with pole support/ metalic part all complete as per TS & direction of Engineer-in charge",Nos,300,60,360,3045,121.8
AG,9,Nuts & Bolts,Kg,1200,240,1440,127.165,5.0866
AG,10,Supply for ACSR conductors,,0,0,0,0,0
AG,a,ACSR Dog Conductor,KM,2,0.4,2.4,82711.7,3308.468
AG,11,PG Clamps suitable for connection to ACSR Rabbit conductor,No.,600,120,720,181.25,7.25
AG,12,Crimping type heavy duty aluminium lugs suitable for connection in rewirable kit kat fuse & connecting ACSR conductor/ PVC cables,LS,1600,320,1920,362.5,14.5
AG,13,Insulators as per TS,,0,0,0,0,0
AG,a,11 kV Disc insulator 45 KN (Single Disc) with hardware fittings suitable for ACSR Dog/ Rabbit/ Weasel conductor,Set,600,120,720,398.75,15.95
AG,b,11 kV Pin insulator with Pin,No.,600,120,720,108.75,4.35
AG,c,LT Pin insulator with Pin,No.,300,60,360,17.4,0.696
AG,d,LT Shackle insulator assembly complete as per specification (Type- II),No.,800,160,960,14.5,0.58
AG,14,"Stay set complete along with guy insulator, stay clamp, guy grip, stay base plate, 7/12 SWG GI stay wire complete as per specification and drawing",,0,0,0,0,0
AG,a,Stay wire 7/12 SWG,Set,200,40,240,507.5,20.3
AG,b,Stay Insulator,no.,200,40,240,21.75,0.87
AG,c,Stay Rod assembly,Set,200,40,240,725,29
AG,d,Stone stay Plate/ Stay Base plate ( 150 x 150 x 6 mm),Set,200,40,240,181.25,7.25
AG,15,Danger board (for both pole of new DSS),No.,100,20,120,116,4.64
AG,16,Anticlimbing device (for both pole of new DSS),No.,200,40,240,153.7,6.148
AG,17,1.1 kV grade 3&1/2 core 120 sqmm size PVC insulated PVC sheathed aluminium conductor cable,Meter,6000,1200,7200,52.2,2.088
AG,18,Stone base plate,Nos,200,40,240,181.25,7.25
